"","inst_type","org_name","ORG_STATE","IDC_decline","oldIDC","totaldirect","IDC_pct_decline","IDC_decline_mm","totaldirect_mm","oldIDC_mm","IDC_plot_name"
"1","Higher Ed","Advanced Science Research Center","NY",757515.2,1073666,2107672,0.705540829270928,0.7575152,2.107672,1.073666,"Other"
"2","Higher Ed","Alabama State University","AL",18154,62702,476852,0.289528244713087,0.018154,0.476852,0.062702,"Other"
"3","Higher Ed","Albany College Of Pharmacy","NY",270000,360000,600000,0.75,0.27,0.6,0.36,"Other"
"4","Higher Ed","Albany Medical College","NY",2891582.65,4089799,8229283,0.707023169109289,2.89158265,8.229283,4.089799,"Other"
"5","Higher Ed","Albany State University","GA",16616,31616,100000,0.525556680161943,0.016616,0.1,0.031616,"Other"
"6","Higher Ed","Albert Einstein College Of Medicine","NY",31940146.25,47196140,113540422,0.676753358431431,31.94014625,113.540422,47.19614,"Albert Einstein College Of Medicine"
"7","Higher Ed","American University","DC",130778.5,388849,2025603,0.336322068463594,0.1307785,2.025603,0.388849,"Other"
"8","Higher Ed","Appalachian State University","NC",91093,151093,400000,0.602893582098443,0.091093,0.4,0.151093,"Other"
"9","Higher Ed","Arcadia University","PA",40936,85936,300000,0.476354496369391,0.040936,0.3,0.085936,"Other"
"10","Higher Ed","Arizona State University-Tempe Campus","AZ",11002611.25,17316109,46693380,0.635397435416929,11.00261125,46.69338,17.316109,"Arizona State University-Tempe Campus"
"11","Higher Ed","Arkansas State University","AR",93166,182716,597000,0.509895137809497,0.093166,0.597,0.182716,"Other"
"12","Higher Ed","Ashland University","OH",18957,56457,250000,0.335777671502205,0.018957,0.25,0.056457,"Other"
"13","Higher Ed","Auburn University At Auburn","AL",1669153.25,2608021,6571200,0.640007595797733,1.66915325,6.5712,2.608021,"Other"
"14","Higher Ed","Augusta University","GA",15597092.4,22878156,49826273,0.681746046315971,15.5970924,49.826273,22.878156,"Augusta University"
"15","Higher Ed","Ball State University","IN",131841.6,354580,1668273,0.371824694004174,0.1318416,1.668273,0.35458,"Other"
"16","Higher Ed","Barnard College","NY",22938.3,103962,611652,0.22064119582155,0.0229383,0.611652,0.103962,"Other"
"17","Higher Ed","Bates College","ME",39265.95,66591,182167,0.589658512411587,0.03926595,0.182167,0.066591,"Other"
"18","Higher Ed","Baylor College Of Medicine","TX",62759440.75,95824149,231412738,0.654943888413765,62.75944075,231.412738,95.824149,"Baylor College Of Medicine"
"19","Higher Ed","Baylor University","TX",634780.5,1342424,4980156,0.47286140593434,0.6347805,4.980156,1.342424,"Other"
"20","Higher Ed","Benedict College","SC",22333,37333,100000,0.598210698309806,0.022333,0.1,0.037333,"Other"
"21","Higher Ed","Black Hills State University","SD",38120.9,83117,299974,0.458641433160485,0.0381209,0.299974,0.083117,"Other"
"22","Higher Ed","Blackfeet Community College","MT",0,23327,509680,0,0,0.50968,0.023327,"Other"
"23","Higher Ed","Boise State University","ID",829267.2,1387520,3905333,0.597661439114391,0.8292672,3.905333,1.38752,"Other"
"24","Higher Ed","Boston College","MA",3238851.5,5069119,13167714,0.638937752299759,3.2388515,13.167714,5.069119,"Other"
"25","Higher Ed","Boston University (Charles River Campus)","MA",12463348.3,18761430,45354260,0.664306947817944,12.4633483,45.35426,18.76143,"Boston University (Charles River Campus)"
"26","Higher Ed","Boston University Medical Campus","MA",28793849.25,46683400,131020572,0.616789892124395,28.79384925,131.020572,46.6834,"Boston University Medical Campus"
"27","Higher Ed","Bowling Green State University","OH",94500,147000,350000,0.642857142857143,0.0945,0.35,0.147,"Other"
"28","Higher Ed","Brandeis University","MA",6486266.7,9538602,21924691,0.680001817876456,6.4862667,21.924691,9.538602,"Other"
"29","Higher Ed","Brigham Young University","UT",1353432.35,2070594,4847285,0.653644485592057,1.35343235,4.847285,2.070594,"Other"
"30","Higher Ed","Brooklyn College","NY",344915.6,482521,995445,0.714819873124693,0.3449156,0.995445,0.482521,"Other"
"31","Higher Ed","Brown University","RI",23388004.8,36334581,93463734,0.643684450358737,23.3880048,93.463734,36.334581,"Brown University"
"32","Higher Ed","Bryn Mawr College","PA",64941.2,101417,243172,0.640338404803928,0.0649412,0.243172,0.101417,"Other"
